,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
212391,230200,B00004RYGX,A2H1WNB30JNAWU,Jack D. Lowry,0,0,5,1345939200,One of Tim Burton's best movies,Beetlejuice one of Tim Burton's best movies he has done during the 1990's.  I enjoy this movie loads and watch it time and time again.  I never get tired of the movie no matter how many times I watch the movie Beetlejuice.  The actors did such an amazing job and musical score perfect timing on the exact scenes.  But if you love a good comedy movie and talented actors and a very talented director then pick this movie up and enjoy laugh after laugh time and time again.
212417,230228,B00004RYGX,ASJ54MITON1NO,"Dr. Feelgood ""Dr. Feelgood""",0,0,5,1254873600,"1988 Tim Burton film, dvd.","Tim Burton's unique vision, which is almost cartoonish at times, really comes across, in this film. A dark comedy, that accents the humor, rather than the horror. Also noteworthy is, Michael Keaton's character, which is not only annoying to the living, but the dead as well. Winona Ryder's character is also interesting to watch."
212423,230234,B00004RYGX,A1FMJJKSVQDDQ,Eric S. Kim,0,0,4,1224460800,Tim Burton's imagination goes wild!,"I'd have to say that this isn't really a top favorite from master filmmaker Tim Burton, but it's not at all horrible. It's a classic display of Burton's wild imagination and clever imagery. It's a great comedy, and it's not only Burton's directing that makes it a laughfest. Michael Keaton is perfect as Beetlejuice; I don't think no one else can equally play the character like he does. But it's too bad he only appears in the film in a total of ten minutes. Alec Baldwin and Geena Davis shine as the deceased married couple, who want an eccentric family out of their perfect house. Catherine O'Hara, Jeffrey Jones, and Winona Ryder give nice performances, and Robert Goulet's cameo appearance is a treat.<br /><br />Oh, and let's not forget Danny Elfman's music score. This is awe-inspiring pre-Batman stuff right here; the main theme is VERY catchy. Art direction and costume design are a plus. The only flaw I can find here is the dance sequence in the end of the film. It's pretty corny, and I find it very annoying. But overall, this is a fun film for the older crowd."
212439,230250,B00004RYGX,A1TW9ZGRDQQZ2Y,Monkdude,0,0,5,1109635200,One of Tim Burton's earliest and best films,"Edited this review on 10/28/08.<br /><br />Ever since I saw Beetlejuice as a kid I have found more and more to like about it with each viewing. Throw in some bizarre concepts and characters, add humor and cool old school special effects, top it all off with an outstanding wacky performance by Michael Keaton and you might begin to understand why it works. This movie is just so much fun to watch mainly because it combines so many genres and to this day it remains one of the most unique takes on a ghost story.<br /><br />I have the old 1997 (were DVDs around then?) DVD release and the picture and sound isn't that great. This Blu-ray is like a whole new experience in terms of video and audio quality. It's worth the upgrade if you like Beetlejuice as much as I do."
212444,230255,B00004RYGX,A1JZV9MCT6KOX4,"C. Eallonardo ""Kali's Copilot""",0,0,5,1037923200,Good Tim Burton Flick,"I like Tim Burton movies in general.  But this is a good one too if you're just into movies.  It's funny, and has great visuals (for the time it was made)."
212463,230275,B00004RYGX,AER15RIMV8E6D,Pumpkin Man,1,2,5,1223424000,A Gothic Tim Burton Classic!!!,"I thought this was a really good movie! Since it's a film by Tim Burton, you get a dark, depressing feel, and Danny Elfman music, and stripes. Michael Keaton, Alec Baldwin, Geena Davis, and Winona Ryder all did a perfect job! Michael Keaton is hilarious and awesome as Beetlejuice! Adam and Barbara Maitland die in a car crash, they are given a rule book to go by on how to be dead. The Deetz family moves in, but Adam and Barbara want them out. Somehow, they're hot gothic daughter, Lydia can see them. They become friends, but they still want to scare them out. They seek the help of Beetlejuice, who is extremely obnoxious, and a bio-exorcist who tries to help Adam and Barbara, but he's too scary and obnoxious to leave and stop. The Deetz's bring Adam and Barbara back from the dead, but Lydia doesn't want them to because it'll torture them. Desperately, she asks Beetlejuice to help. If you love gothic comedy, you'll love BEETLEJUICE!!!"
212467,230279,B00004RYGX,A2JTZI7Y58X9W5,John Williams,1,2,5,1162512000,Beetlejuice - Tim Burton's Masterpiece,"When the world didn't know who Tim Burton was, it must have been quite a shock to realise his genius first. This larger than life, colorful, yet dark, very funny, bizarre tale broke into the cinemas, and changed the face of storytelling as we knew it forever. Tim Burton was born, and a whole new dimension of dreams, imagination broke free. Movie was never the same again. And thank Tim Burton for that! You cannot do anything but enjoy this crazy story about a ghost, about the importance of life and love, friendship, and all this covered in an unbelievable cloak."
212489,230303,B00004RYGX,A1RSXP7MB772E3,"Jeff W. Shimkus ""Movie Manji""",0,1,5,1105401600,Best Tim Burton film. He should just stick to this format.,"In beetlejuice I was entirely sucked into this dream like film. The afterlife was a complete quirk, and if it hadn't been accredited to, I would have known already who had directed it. It felt like Batman in it's tone, in its wet darkness, and then the cubistic art world of the urban. I always feel like I'm drawn into the mind of a deeply rooted ""pure abstract"" painters mind. I love the demensions of his creativity. He takes risks also, something I don't see enough of in his latest works. I always feel like it's halloween after watching this film. In fact it's a sort of tradition to watch this film, along with ""a nightmare before christmas"", around halloween time. Nothing gets me into the mode better. An ecclectic scare, with a foolishness appropriate enough to remind you of the cartoon."
212493,230307,B00004RYGX,A1BZEGSNBB7DVS,dylan,0,1,5,1082160000,Tim Burton's Best,"This is Tim Burton's best work, well this and Edward Scissorhands are his best work closely followed by Ed Wood and Big Fish.  This movie is witty, imaginiative and a little gory at times but not too gory.  This movie seems to get funnier the more you watch it.  Michael Keaton proves himself in this that he can be one of the funniest comedians if he tries.  He portray's Betelguise really good.  Alec Baldwin and Geena Davis are great in this too.  The dvd is good.  The picture and sound is clear and crisp, but my only thing is that the menu in this dvd is HORRIBLE.  It doesn't even have a play button for it.  Come on Warner, you can do better then this.  Special Features are average considering this was one of the first dvd's to come out.  Warning: Keep kids under the age of 4 years old or younger away from this movie.  It's to bad and violent.  It even has the f word in it.  But that's why it isn't rated G like other kids movies you can watch with them instead.  This is the movie that really started Tim Burton's career.  I mean, Pee-Wee's Big Adventure was good but this was way better ny far.  I recommend this to any Tim Burton fan, or evwn if your not a big fan of his work, you'll still love this movie."
212524,230339,B00004RYGX,AW3FTPCBPVQNB,Robert J. Schneider,10,13,5,1084838400,Tim Burton Goes All Out in His Second Feature Film!,"Tim Burton had come off the blockbuster success of his first feature film PEE-WEE'S BIG ADVENTURE (1985) when he was greenlighted by Warner Bros. to direct the project he REALLY wanted to make. It was the picture that would define the rest of his career to this day: the supernaturally weird black comedy (and weirdly-titled) BEETLEJUICE (1988). It was so unique, so strange to me that I didn't know what to make of it when I first saw it on video in 1989. I remember from that first time liking parts of it, but not liking the picture as a whole. The movie was so frenetic, so odd in its mixture of Goth Horror, Comedy, gruesome visual effects (I'm still kind of amazed that it got a PG rating instead of PG-13) and cartoonish slapstick that I really didn't know what to make if it. Well, now that I've seen it at least a half-dozen times since (three of them in the past year alone), I can say that it has held up better than many of the most popular 80's films (TOP GUN, etc) and has become a classic all unto itself.<p>With BEETLEJUICE, Tim Burton showed not only that he could direct effective comedy and illicit inspired performances from his actors, but also bring a true artist's touch to the big screen. Of course, the film won the Oscar for Best Makeup (as if there was any real question about it), but I also think that it should have also been at least nominated for Visual Effects and Art Direction, as those truly mesmerizing aspects all come together to create a product that is so unique. Not only that, but this film helped make the careers of several actors who would go on to major success soon after.<p>Two of those actors are Alec Baldwin and Geena Davis, as the ill-fated newlyweds Adam and Barbara Maitland who, after buying a big Victorian dream house at the film's outset, die in a bizarre car accident soon after. Slowly realizing that they've passed on to the next world, they don't want to give up their house to the pathetically bourgeois Charles &amp; Delia Deetz (Jeffrey Jones &amp; Catherine O'Hara), who along with their chubby, effete chauffeur Otho (Glenn Shadix) have already moved in, and inspire true disgust in the newly-dead couple. However, they seem to have an ally in the older couple's death-obsessed Goth daughter Lydia (Winona Ryder) see an afterlife advertisement for a &quot;Bio-Exorcist&quot; named Betelgeuse (Michael Keaton) and decide that their only hope in driving out the destestable Charles, Delia, and Otho is in using the wild, unpredictable Betelgeuse. Of course, good ol' Betelgeuse will gladly provide his unique brand of service, but at a very high price. <p>Alec Baldwin &amp; Geena Davis fill their roles very well. The ironic thing is that this was the first film I'd ever seen Alec Baldwin in, so my first impression of him as the nerdy, good-natured Adam ended up being turned around by 180 degrees by the psychotic, tough-guy roles that would define the rest of his career. That turnabout came pretty quickly, actually, as the very next film I would see him in was MARRIED TO THE MOB (1988), in which he was a mobster unbeknownst to his wife who gets offed early on, but it was his psychotic turn in the extremely quirky and violent MIAMI BLUES (1989) that really shocked me and made me realize that Alec really had some range to him (unfortunately, he would be end up being typecast as psychos for the rest of his career). However, Geena Davis, herself at the cusp of stardom (and Oscar acclaim) is playing pretty much the quirky kind of character that would eventually define her career. In fact, it was just the following year that she would win the Oscar for Best Supporting Actress for playing the truly quirky and inspired Muriel Pritchett in the otherwise uninspired THE ACCIDENTAL TOURIST (1989). This film, of course, also boosted the career of the now-infamous Winona Ryder, who quickly became the hot new &quot;it&quot; girl in the late 80's with this movie and with others soon to follow: 1969 (1988), HEATHERS (1989), GREAT BALLS OF FIRE! (also 1989), EDWARD SCISSORHANDS (1990, and another Tim Burton film) and MERMAIDS (also 1990). Of course, former AMADEUS (1984) emperor and FERRIS BUELLER'S DAY OFF (1986) principal Jeffrey Jones, now infamous for his own reasons, is also terrific here, as is former &quot;SC-TV&quot; alumnus Catherine O'Hara. We also get a welcome supporting performance from the great old character actress, Sylvia Sidney, as the chain-smoking receptionist Juno!<p>But it was Michael Keaton, who was already an up-and-coming comedic actor known for quirky hit comedies such as the Ron Howard-directed NIGHT SHIFT (1982), MR. MOM (1983), JOHNNY DANGEROUSLY (1984) and GUNG HO (1986), who really stole the show and hit paydirt in the process. He would immediately be elevated to &quot;A&quot; list status with his truly brilliant, maniacal and hilarious performance as the titular Betelgeuse, going immediately on to bigger &amp; better things with Tim Burton himself, starring soon after as BATMAN (1989)! It's funny; I think that in 1988, Keaton was robbed of Oscar nominations not only for this truly unique comedic role, but for also his surprising dramatic turn as a recovering alcoholic in CLEAN AND SOBER. It just shows that, for whatever reason, comedians just don't get recognized enough for their acting ability.<p>BEETLEJUICE is a lot of fun. It looks like it must have been a lot of fun to make. Despite the liberal PG rating, I would recommend it only for ages 9 &amp; up, as the humor is quite adult and the rather gruesome visuals are likely to give any young child nightmares. It is still a truly unique movie with incredible special effects, and it still makes me laugh to this day. Oddly enough, whenever I see it, it makes me that much less afraid to die!<p>HIGHLY RECOMMENDED"
